姓名,出生年,單位,量級,體重,蹲舉,S.Rk,臥舉,B.Rk,硬舉,D.Rk,總和,T.Rk,賽制,賽事,組別,日期,地點
陳品丞,1996,桃  力,66kg,65.45,195.0,5,115.0,11,0.0,-,-,-,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
周秉澔,1997,個人,66kg,65.75,150.0,22,0.0,-,180.0,20,-,-,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
許時睿,1997,個人,66kg,63.55,127.5,29,77.5,24,0.0,-,-,-,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
傅俞友,1984,巨力體能,66kg,65.55,160.0,19,0.0,-,0.0,-,-,-,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
鄭又睿,1999,高苑科大,74kg,71.65,250.0,1,135.0,4,265.0,1,650.0,1,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
郭介嵩,1992,個人,74kg,72.86,225.0,3,145.0,2,260.0,2,630.0,2,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
陳俊仁,1988,成吉思汗,74kg,73.28,235.0,2,130.0,5,240.0,4,605.0,3,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
廖宇朝,1994,成吉思汗,74kg,72.80,210.0,7,140.0,3,230.0,7,580.0,4,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
周上譯,2000,臺灣體大A,74kg,68.50,212.5,6,125.0,7,230.0,6,567.5,5,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
柯宇杰,1990,重心健身「重」隊,74kg,72.98,222.5,4,122.5,9,215.0,14,560.0,6,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
許峻瑋,1991,消防隊,74kg,73.08,220.0,5,110.0,16,230.0,8,560.0,7,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
余啓正,1998,崇慄健體A,74kg,73.15,197.5,9,120.0,10,240.0,3,557.5,8,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
林鈞珧,1996,科技新貴,74kg,73.40,195.0,10,125.0,8,230.0,9,550.0,9,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
郝奕涵,1994,史壯健身,74kg,72.15,205.0,8,100.0,23,235.0,5,540.0,10,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
王亦晟,1987,王者健身,74kg,72.40,190.0,12,115.0,12,225.0,10,530.0,11,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
李基成,1996,雲林縣,74kg,72.65,180.0,17,152.5,1,190.0,25,522.5,12,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
黃啟睿,1999,高雄市B,74kg,72.65,185.0,14,110.0,15,220.0,13,515.0,13,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
蔡秋彥,1996,個人,74kg,73.72,175.0,18,110.0,17,210.0,19,495.0,14,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
賴碩豐,1995,科技新貴,74kg,72.80,170.0,22,95.0,27,225.0,11,490.0,15,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
劉育恩,1999,臺灣體大A,74kg,66.18,170.0,20,115.0,11,200.0,20,485.0,16,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
林冠鋐,1991,個人,74kg,72.08,180.0,15,95.0,25,210.0,17,485.0,17,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
林哲宇,1995,個人,74kg,72.96,190.0,13,127.5,6,160.0,32,477.5,18,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
吳楨智,1994,個人,74kg,73.54,165.0,24,87.5,31,225.0,12,477.5,19,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
葉勁緯,1995,個人,74kg,72.34,170.0,21,95.0,26,210.0,18,475.0,20,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
林威霖,1998,個人,74kg,71.90,162.5,26,95.0,24,210.0,16,467.5,21,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
陳奕中,1998,高雄市C,74kg,73.14,165.0,23,115.0,13,185.0,28,465.0,22,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
薛濬煬,1998,重心健身「心」隊,74kg,70.14,162.5,25,100.0,21,200.0,21,462.5,23,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
徐詠欽,1989,凱爾健身,74kg,73.00,192.5,11,75.0,34,190.0,26,457.5,24,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
劉庭佑,1996,個人,74kg,70.76,172.5,19,92.5,28,190.0,24,455.0,25,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
楊隆翔,1985,個人,74kg,72.94,145.0,31,105.0,20,200.0,23,450.0,26,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
孫立宗,1992,個人,74kg,71.30,155.0,27,92.5,29,200.0,22,447.5,27,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
張家杭,1982,個人,74kg,72.08,180.0,16,85.0,32,180.0,30,445.0,28,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
劉柏辰,1998,個人,74kg,69.95,125.0,34,105.0,19,210.0,15,440.0,29,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
尤培任,1981,高雄市C,74kg,71.76,145.0,30,107.5,18,187.5,27,440.0,30,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
李育斌,1982,新北市A,74kg,71.60,135.0,32,110.0,14,180.0,29,425.0,31,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
張哲嘉,1999,桃  力,74kg,73.05,155.0,29,90.0,30,172.5,31,417.5,32,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
黃柏瑜,2003,重心健身「心」隊,74kg,72.05,155.0,28,100.0,22,150.0,33,405.0,33,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
游子鋐,1997,個人,74kg,72.65,132.5,33,85.0,33,145.0,34,362.5,34,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
張友鑫,1983,崇慄健體B,74kg,72.72,0.0,-,0.0,-,0.0,-,-,-,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
吳為淳,1990,雲林縣,83kg,82.65,270.0,1,175.0,1,270.0,2,715.0,1,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
陳信宏,1992,史壯健身,83kg,81.15,230.0,3,147.5,5,252.5,3,630.0,2,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
黃紹宸,1992,個人,83kg,82.00,205.0,12,165.0,2,235.0,11,605.0,3,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
陳嘉弘,1988,消防隊,83kg,82.20,230.0,4,135.0,6,240.0,9,605.0,4,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
吳韋霖,1993,崇慄健體A,83kg,80.30,217.5,6,130.0,9,240.0,6,587.5,5,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
謝函辰,1991,高雄市A,83kg,82.56,195.0,18,150.0,4,242.5,5,587.5,6,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
余東峻,1994,重心健身「重」隊,83kg,81.48,251.5,2,95.0,24,240.0,8,586.5,7,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
王笠宇,1996,個人,83kg,80.44,205.0,10,117.5,15,250.0,4,572.5,8,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
邱柏榮,1993,個人,83kg,81.00,202.5,13,122.5,10,240.0,7,565.0,9,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
陳威竣,1992,個人,83kg,81.45,205.0,11,132.5,7,222.5,15,560.0,10,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
林起聖,1996,個人,83kg,81.85,200.0,17,120.0,13,235.0,10,555.0,11,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
謝佳升,1995,個人,83kg,82.80,202.5,14,120.0,14,232.5,12,555.0,12,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
陳韋安,1995,新北市A,83kg,81.42,210.0,7,120.0,12,225.0,14,555.0,13,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
石翔元,1989,高雄市B,83kg,80.00,220.0,5,115.0,18,210.0,18,545.0,14,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
譚又瑋,1995,個人,83kg,77.75,200.0,15,115.0,17,230.0,13,545.0,15,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
陳彥中,1996,個人,83kg,81.25,200.0,16,120.0,11,205.0,21,525.0,16,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
施鴻仁,1998,重心健身「心」隊,83kg,81.64,210.0,8,85.0,28,220.0,16,515.0,17,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
黃上芫,1999,崇慄健體A,83kg,79.85,175.0,22,130.0,8,197.5,23,502.5,18,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
賴韋任,1994,高雄市C,83kg,80.86,175.0,23,110.0,19,215.0,17,500.0,19,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
王廷維,1997,個人,83kg,80.82,190.0,19,100.0,22,200.0,22,490.0,20,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
劉柏佑,2000,臺灣體大A,83kg,74.88,180.0,20,115.0,16,195.0,24,490.0,21,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
王佳齊,1999,泰武鄉A,83kg,78.85,175.0,21,105.0,21,205.0,20,485.0,22,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
李和家,2001,重心健身「重」隊,83kg,81.68,165.0,26,92.5,25,207.5,19,465.0,23,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
余偉銘,1984,個人,83kg,82.25,170.0,25,75.0,32,192.5,25,437.5,24,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
林元龍,1982,個人,83kg,80.55,160.0,27,90.0,26,180.0,27,430.0,25,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
翁立颺,2000,個人,83kg,78.90,157.5,28,107.5,20,160.0,30,425.0,26,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
林晏宏,1991,崇慄健體B,83kg,81.15,170.0,24,80.0,29,172.5,29,422.5,27,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
潘聖凱,1995,重心健身「心」隊,83kg,76.68,150.0,30,75.0,30,190.0,26,415.0,28,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
邱鵬展,1981,新北市A,83kg,79.55,140.0,32,85.0,27,172.5,28,397.5,29,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
鄭鴻威,1996,崇慄健體B,83kg,82.24,152.5,29,100.0,23,132.5,33,385.0,30,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
李定遠,1995,新北市B,83kg,78.70,142.5,31,75.0,31,140.0,32,357.5,31,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
許振瑋,1989,個人,83kg,80.56,125.0,33,60.0,33,147.5,31,332.5,32,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
邱聖鈞,1993,消防隊,83kg,82.04,0.0,-,150.0,3,275.0,1,-,-,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
高嘉偉,1987,個人,83kg,81.68,210.0,9,0.0,-,0.0,-,-,-,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
林明陽,1991,雲林縣,93kg,92.12,265.0,1,175.0,3,287.5,1,727.5,1,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
洪宗煒,1992,成吉思汗,93kg,91.36,240.0,5,155.0,5,255.0,6,650.0,2,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
李欣曄,1983,消防隊,93kg,90.62,240.0,4,130.0,16,265.0,3,635.0,3,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
蔡杰軒,1988,個人,93kg,91.57,245.0,3,155.0,6,235.0,12,635.0,4,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
侯宗逸,1997,個人,93kg,91.35,250.0,2,160.0,4,210.0,22,620.0,5,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
王   瀚,1991,新北市A,93kg,92.18,235.0,7,140.0,9,240.0,9,615.0,6,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
林冠儀,1987,消防隊,93kg,86.90,180.0,23,175.0,2,255.0,4,610.0,7,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
嚴政翰,1981,崇慄健體A,93kg,92.91,220.0,13,145.0,7,240.0,10,605.0,8,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
郭聖義,1993,重心健身「重」隊,93kg,84.55,220.0,8,140.0,8,235.0,11,595.0,9,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
黃碁軒,1996,高雄市B,93kg,87.02,215.0,14,130.0,13,250.0,7,595.0,10,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
莊嘉宏,2001,王者健身,93kg,91.18,235.0,6,130.0,17,230.0,15,595.0,11,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
劉柏均,1986,個人,93kg,91.35,220.0,12,115.0,25,255.0,5,590.0,12,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
陳順富,1995,個人,93kg,91.35,220.0,11,122.5,20,232.5,13,575.0,13,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
陳冠州,1985,成吉思汗,93kg,92.54,205.0,17,120.0,22,250.0,8,575.0,14,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
周員兆,1997,宜蘭縣,93kg,88.90,210.0,15,130.0,14,220.0,19,560.0,15,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
王彥荃,1990,個人,93kg,90.15,220.0,9,130.0,15,210.0,21,560.0,16,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
蕭彥嶸,1998,個人,93kg,90.32,220.0,10,110.0,27,220.0,20,550.0,17,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
馬   浚,2000,個人,93kg,91.15,195.0,19,125.0,18,230.0,14,550.0,18,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
黃炯銘,1992,崇慄健體A,93kg,83.15,187.5,21,130.0,10,225.0,17,542.5,19,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
陳肇銘,1991,個人,93kg,91.48,190.0,20,125.0,19,227.5,16,542.5,20,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
陳   誠,1991,泰武鄉A,93kg,84.90,165.0,25,80.0,31,285.0,2,530.0,21,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
李冠霆,1998,重心健身「心」隊,93kg,85.90,170.0,24,130.0,12,220.0,18,520.0,22,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
邱永福,1993,個人,93kg,89.86,185.0,22,110.0,26,205.0,23,500.0,23,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
石詠文,1996,個人,93kg,88.80,195.0,18,100.0,28,202.5,24,497.5,24,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
陳向寧,1990,個人,93kg,90.22,160.0,26,115.0,24,200.0,25,475.0,25,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
陳鵬富,1991,個人,93kg,83.30,140.0,30,130.0,11,190.0,27,460.0,26,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
莊承賢,1996,桃  力,93kg,91.04,160.0,27,90.0,30,192.5,26,442.5,27,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
洪義凱,1998,高雄市C,93kg,89.85,150.0,28,115.0,23,150.0,29,415.0,28,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
李明澤,1999,巨力體能,93kg,86.52,145.0,29,95.0,29,170.0,28,410.0,29,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
張耀文,1998,高雄市B,93kg,89.85,60.0,31,177.5,1,60.0,30,297.5,30,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
許翰祥,1993,個人,93kg,91.36,210.0,16,120.0,21,0.0,-,-,-,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
徐瀚芳,1991,桃  力,105kg,103.05,230.0,6,177.5,2,307.5,1,715.0,1,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
廖坤帝,1985,史壯健身,105kg,103.15,260.0,1,175.0,3,280.0,3,715.0,2,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
李國瑋,1989,科技新貴,105kg,103.95,252.5,2,162.5,4,265.0,5,680.0,3,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
林鴻麟,1991,台南市,105kg,99.95,225.0,7,125.0,7,306.0,2,656.0,4,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
林庭安,1994,宜蘭縣,105kg,102.10,220.0,10,185.0,1,225.0,10,630.0,5,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
黃麟貴,2000,臺灣體大A,105kg,103.70,235.0,4,120.0,11,265.0,4,620.0,6,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
簡鈺嶄,2001,個人,105kg,102.85,230.0,5,120.0,9,260.0,6,610.0,7,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
黃政御,1996,宜蘭縣,105kg,103.50,242.5,3,120.0,10,245.0,8,607.5,8,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
王鵬翔,1981,個人,105kg,98.85,220.0,9,140.0,5,245.0,7,605.0,9,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
解鎮澤,1998,個人,105kg,101.95,225.0,8,125.0,8,225.0,9,575.0,10,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
梁朝民,1994,崇慄健體A,105kg,102.25,210.0,11,95.0,14,220.0,11,525.0,11,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
陳岳呈,1997,個人,105kg,104.10,190.0,12,115.0,12,215.0,12,520.0,12,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
林紘緯,1987,高雄市B,105kg,98.75,170.0,13,110.0,13,180.0,14,460.0,13,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
王博毅,1998,重心健身「重」隊,105kg,100.75,0.0,-,130.0,6,200.0,13,-,-,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
吳柏佑,2000,新北市A,120kg,117.90,300.0,1,157.5,2,265.0,2,722.5,1,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
蔡文盛,1983,個人,120kg,117.74,285.0,2,160.0,1,232.5,4,677.5,2,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
李宜興,1994,高雄市B,120kg,117.50,255.0,3,120.0,3,280.0,1,655.0,3,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
黃麟棋,2000,臺灣體大A,120kg,117.72,222.5,4,120.0,4,262.5,3,605.0,4,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
葉展華,1997,泰武鄉B,120kg,107.95,217.5,5,115.0,5,210.0,5,542.5,5,經典,109年全國菁英盃健力錦標賽,公開男子組,2020-8,高雄市凱爾健身
